,User,Created_at,Tweet,Compound,Positive,Neutral,Negative
80,@BBC,2018-03-24 19:16:04,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",0.5859,0.183,0.817,0.0
81,@BBC,2018-03-24 18:44:04,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N 🏆 🚣 #BoatRace2018 https://t.co/6SQjF1ToSt,0.5719,0.252,0.748,0.0
82,@BBC,2018-03-24 18:02:01,"📺😂 @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",0.3182,0.223,0.777,0.0
83,@BBC,2018-03-24 17:01:01,"When proposals go wrong... 😳💍 #Doodlebugs 
https://t.co/8Yi6giWO3S",0.0,0.0,1.0,0.0
84,@BBC,2018-03-24 15:30:10,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",0.2732,0.129,0.788,0.083
85,@BBC,2018-03-24 15:00:06,🤳How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,-0.0772,0.131,0.719,0.15
86,@BBC,2018-03-24 14:01:47,🚣 @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,0.0,0.0,1.0,0.0
87,@BBC,2018-03-24 14:01:32,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,0.296,0.155,0.845,0.0
88,@BBC,2018-03-24 13:03:01,"Which animals are likely to become extinct in your lifetime? 🦏💔
https://t.co/9KwlmcNrWV",0.0,0.0,1.0,0.0
89,@BBC,2018-03-24 12:33:04,"Don't miss the highlights from the Gymnastics World Cup! 🤸🤸‍♀️🇬🇧

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",0.1867,0.098,0.902,0.0
90,@BBC,2018-03-24 11:29:04,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…🐴

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",0.0,0.0,1.0,0.0
